name;color;cmc;type;subtype;set;rarity;text;power;toughness;price_usd;price_eur;price_usd_foil;year
Harmonious Archon;W;6;Creature;Archon;eld;mythic;"Flying
Non-Archon creatures have base power and toughness 3/3.
When Harmonious Archon enters the battlefield, create two 1/1 white Human creature tokens.";4;5;1.55;0.9;6.77;2019
Naya Hushblade;GRW;2;Creature;Elf Rogue;arb;common;As long as you control another multicolored permanent, Naya Hushblade gets +1/+1 and has shroud. (It can't be the target of spells or abilities.);2;1;0.25;0.2;0.90;2009
Gatebreaker Ram;G;3;Creature;Sheep;rna;uncommon;"Gatebreaker Ram gets +1/+1 for each Gate you control.
As long as you control two or more Gates, Gatebreaker Ram has vigilance and trample.";2;2;0.19;0.15;0.61;2019
Yavimaya Sapherd;G;3;Creature;Fungus;dom;common;When Yavimaya Sapherd enters the battlefield, create a 1/1 green Saproling creature token.;2;2;0.07;0.24;0.24;2018
Crazed Firecat;R;7;Creature;Elemental Cat;tor;uncommon;When Crazed Firecat enters the battlefield, flip a coin until you lose a flip. Put a +1/+1 counter on Crazed Firecat for each flip you won.;4;4;0.28;0.17;2.95;2002
Caress of Phyrexia;B;5;Sorcery;;nph;uncommon;Target player draws three cards, loses 3 life, and gets three poison counters.;;;0.45;0.14;1.30;2011
Petra Sphinx;W;5;Creature;Sphinx;leg;rare;{T}: Target player chooses a card name, then reveals the top card of their library. If that card has the chosen name, that player puts it into their hand. If it doesn't, the player puts it into their graveyard.;3;4;9.21;9.5;;1994
Forbidding Watchtower;W;0;Land;;10e;uncommon;"Forbidding Watchtower enters the battlefield tapped.
{T}: Add {W}.
{1}{W}: Forbidding Watchtower becomes a 1/5 white Soldier creature until end of turn. It's still a land.";;;0.93;0.44;2.12;2007
Gravelgill Axeshark;BU;5;Creature;Merfolk Soldier;shm;common;Persist (When this creature dies, if it had no -1/-1 counters on it, return it to the battlefield under its owner's control with a -1/-1 counter on it.);3;3;0.06;0.02;0.28;2008
Rielle, the Everwise;RU;3;Legendary Creature;Human Wizard;iko;mythic;"Rielle, the Everwise gets +1/+0 for each instant and sorcery card in your graveyard.
Whenever you discard one or more cards for the first time each turn, draw that many cards.";0;3;3.04;3.46;3.72;2020
Silverclad Ferocidons;R;7;Creature;Dinosaur;rix;rare;Enrage — Whenever Silverclad Ferocidons is dealt damage, each opponent sacrifices a permanent.;8;5;2.35;0.28;3.20;2018
Phalanx Tactics;W;2;Instant;;thb;uncommon;Target creature you control gets +2/+1 until end of turn. Each other creature you control gets +1/+1 until end of turn.;;;0.03;0.02;0.11;2020
Sunken Hope;U;5;Enchantment;;pls;rare;At the beginning of each player's upkeep, that player returns a creature they control to its owner's hand.;;;0.25;0.19;7.75;2001
Inquisition;B;3;Sorcery;;drk;common;Target player reveals their hand. Inquisition deals damage to that player equal to the number of white cards in their hand.;;;0.22;0.05;;1994
Chandra's Flame Wave;R;5;Sorcery;;m20;rare;Chandra's Flame Wave deals 2 damage to target player and each creature that player controls. Search your library and/or graveyard for a card named Chandra, Flame's Fury, reveal it, and put it into your hand. If you search your library this way, shuffle it.;;;0.31;0.1;;2019
Wall of Glare;W;2;Creature;Wall;uds;common;"Defender (This creature can't attack.)
Wall of Glare can block any number of creatures.";0;5;0.84;0.09;5.23;1999
Giltspire Avenger;GUW;3;Creature;Human Soldier;con;rare;"Exalted (Whenever a creature you control attacks alone, that creature gets +1/+1 until end of turn.)
{T}: Destroy target creature that dealt damage to you this turn.";2;2;1.41;0.3;1.28;2009
Black Oak of Odunos;B;3;Creature;Zombie Treefolk;bng;uncommon;"Defender
{B}, Tap another untapped creature you control: Black Oak of Odunos gets +1/+1 until end of turn.";0;5;0.1;0.02;0.24;2014
Precinct Captain;W;2;Creature;Human Soldier;rtr;rare;"First strike
Whenever Precinct Captain deals combat damage to a player, create a 1/1 white Soldier creature token.";2;2;0.29;0.23;0.62;2012
Gnarled Sage;G;5;Creature;Treefolk Druid;m21;common;"Reach (This creature can block creatures with flying.)
As long as you've drawn two or more cards this turn, Gnarled Sage gets +0/+2 and has vigilance. (Attacking doesn't cause it to tap.)";4;4;0.02;0.02;0.06;2020
Hunted Nightmare;B;3;Creature;Nightmare;iko;rare;"Menace
When Hunted Nightmare enters the battlefield, target opponent puts a deathtouch counter on a creature they control.";4;5;0.16;0.22;0.23;2020
Tomebound Lich;BU;3;Creature;Zombie Wizard;m20;uncommon;"Deathtouch (Any amount of damage this deals to a creature is enough to destroy it.)
Lifelink (Damage dealt by this creature also causes you to gain that much life.)
Whenever Tomebound Lich enters the battlefield or deals combat damage to a player, draw a card, then discard a card.";1;3;0.25;0.08;1.03;2019
Metropolis Sprite;U;2;Creature;Faerie Rogue;gtc;common;"Flying
{U}: Metropolis Sprite gets +1/-1 until end of turn.";1;2;0.06;0.02;0.25;2013
Planar Outburst;W;5;Sorcery;;bfz;rare;"Destroy all nonland creatures.
Awaken 4—{5}{W}{W}{W} (If you cast this spell for {5}{W}{W}{W}, also put four +1/+1 counters on target land you control and it becomes a 0/0 Elemental creature with haste. It's still a land.)";;;0.21;0.1;0.67;2015
Root Snare;G;2;Instant;;rna;common;Prevent all combat damage that would be dealt this turn.;;;0.06;0.03;0.17;2019
Ixalan's Binding;W;4;Enchantment;;xln;uncommon;"When Ixalan's Binding enters the battlefield, exile target nonland permanent an opponent controls until Ixalan's Binding leaves the battlefield.
Your opponents can't cast spells with the same name as the exiled card.";;;0.23;0.14;0.48;2017
Angel of Destiny;W;5;Creature;Angel Cleric;znr;mythic;"Flying, double strike
Whenever a creature you control deals combat damage to a player, you and that player each gain that much life.
At the beginning of your end step, if you have at least 15 life more than your starting life total, each player Angel of Destiny attacked this turn loses the game.";2;6;4.05;3.0;7.01;2020
Jungle Weaver;G;7;Creature;Spider;ala;common;"Reach (This creature can block creatures with flying.)
Cycling {2} ({2}, Discard this card: Draw a card.)";5;6;0.22;0.06;0.73;2008
Blood Funnel;B;2;Enchantment;;rav;rare;"Noncreature spells you cast cost {2} less to cast.
Whenever you cast a noncreature spell, counter that spell unless you sacrifice a creature.";;;0.84;0.26;4.17;2005
Saproling Cluster;G;2;Enchantment;;nem;rare;{1}, Discard a card: Create a 1/1 green Saproling creature token. Any player may activate this ability.;;;0.19;0.26;1.81;2000
Noble Stand;W;5;Enchantment;;nem;uncommon;Whenever a creature you control blocks, you gain 2 life.;;;0.13;0.05;0.47;2000
Sentinel Spider;G;5;Creature;Spider;m13;common;Vigilance, reach;4;4;0.08;0.05;0.35;2012
Hostility;R;6;Creature;Elemental Incarnation;lrw;rare;"Haste
If a spell you control would deal damage to an opponent, prevent that damage. Create a 3/1 red Elemental Shaman creature token with haste for each 1 damage prevented this way.
When Hostility is put into a graveyard from anywhere, shuffle it into its owner's library.";6;6;0.32;0.1;2.58;2007
Mystic Snake;GU;4;Creature;Snake;tsb;rare;"Flash
When Mystic Snake enters the battlefield, counter target spell.";2;2;0.91;0.4;8.31;2006
Library of Lat-Nam;U;5;Sorcery;;all;rare;"An opponent chooses one —
• You draw three cards at the beginning of the next turn's upkeep.
• You search your library for a card, put that card into your hand, then shuffle your library.";;;0.33;0.28;;1996
Argivian Blacksmith;W;3;Creature;Human Artificer;atq;common;{T}: Prevent the next 2 damage that would be dealt to target artifact creature this turn.;2;2;0.34;0.1;;1994
Pandemonium;R;4;Enchantment;;exo;rare;Whenever a creature enters the battlefield, that creature's controller may have it deal damage equal to its power to any target of their choice.;;;1.8;1.09;;1998
Snowblind;G;4;Enchantment;Aura;ice;rare;"Enchant creature
Enchanted creature gets -X/-Y. If that creature is attacking, X is the number of snow lands defending player controls. Otherwise, X is the number of snow lands its controller controls. Y is equal to X or to enchanted creature's toughness minus 1, whichever is smaller.";;;0.53;0.2;;1995
Snare Tactician;W;3;Creature;Human Soldier;iko;common;Whenever you cycle a card, tap target creature an opponent controls.;2;3;0.01;0.01;0.10;2020
Mobile Fort;;4;Artifact Creature;Wall;usg;uncommon;"Defender (This creature can't attack.)
{3}: Mobile Fort gets +3/-1 until end of turn and can attack this turn as though it didn't have defender. Activate this ability only once each turn.";0;6;0.19;0.26;;1998
Bold Defense;W;3;Instant;;zen;common;"Kicker {3}{W} (You may pay an additional {3}{W} as you cast this spell.)
Creatures you control get +1/+1 until end of turn. If this spell was kicked, instead creatures you control get +2/+2 and gain first strike until end of turn.";;;0.04;0.01;;2009
Selkie Hedge-Mage;GU;3;Creature;Merfolk Wizard;eve;uncommon;"When Selkie Hedge-Mage enters the battlefield, if you control two or more Forests, you may gain 3 life.
When Selkie Hedge-Mage enters the battlefield, if you control two or more Islands, you may return target tapped creature to its owner's hand.";2;2;0.1;0.09;1.68;2008
Undiscovered Paradise;;0;Land;;vis;rare;{T}: Add one mana of any color. During your next untap step, as you untap your permanents, return Undiscovered Paradise to its owner's hand.;;;28.76;13.26;;1997
Wine of Blood and Iron;;3;Artifact;;sok;rare;{4}: Target creature gets +X/+0 until end of turn, where X is its power. Sacrifice Wine of Blood and Iron at the beginning of the next end step.;;;0.23;0.19;1.50;2005
Murderous Redcap;BR;4;Creature;Goblin Assassin;shm;uncommon;"When Murderous Redcap enters the battlefield, it deals damage equal to its power to any target.
Persist (When this creature dies, if it had no -1/-1 counters on it, return it to the battlefield under its owner's control with a -1/-1 counter on it.)";2;2;0.44;0.3;10.30;2008
Scroll Rack;;2;Artifact;;tmp;rare;{1}, {T}: Exile any number of cards from your hand face down. Put that many cards from the top of your library into your hand. Then look at the exiled cards and put them on top of your library in any order.;;;68.66;44.41;;1997
Sylvan Ranger;G;2;Creature;Elf Scout;m11;common;When Sylvan Ranger enters the battlefield, you may search your library for a basic land card, reveal it, put it into your hand, then shuffle your library.;1;1;0.2;0.02;0.85;2010
Hampering Snare;U;2;Instant;;iko;common;"Creatures your opponents control get -2/-0 until end of turn.
Cycling {2} ({2}, Discard this card: Draw a card.)";;;0.02;0.01;0.06;2020
Bloodtallow Candle;;1;Artifact;;dom;common;{6}, {T}, Sacrifice Bloodtallow Candle: Target creature gets -5/-5 until end of turn.;;;0.03;0.02;0.25;2018
Rakdos Cackler;BR;1;Creature;Devil;rtr;uncommon;Unleash (You may have this creature enter the battlefield with a +1/+1 counter on it. It can't block as long as it has a +1/+1 counter on it.);1;1;0.1;0.1;0.74;2012
Dystopia;B;3;Enchantment;;all;rare;"Cumulative upkeep—Pay 1 life. (At the beginning of your upkeep, put an age counter on this permanent, then sacrifice it unless you pay its upkeep cost for each age counter on it.)
At the beginning of each player's upkeep, that player sacrifices a green or white permanent.";;;1.82;1.13;;1996
Aid the Fallen;B;2;Sorcery;;war;common;"Choose one or both —
• Return target creature card from your graveyard to your hand.
• Return target planeswalker card from your graveyard to your hand.";;;0.05;0.1;0.25;2019
Embraal Bruiser;B;2;Creature;Human Warrior;kld;uncommon;"Embraal Bruiser enters the battlefield tapped.
Embraal Bruiser has menace as long as you control an artifact.";3;1;0.05;0.01;0.19;2016
Waiting in the Weeds;G;3;Sorcery;;mir;rare;Each player creates a 1/1 green Cat creature token for each untapped Forest they control.;;;0.75;0.28;;1996
Deathmark;B;1;Sorcery;;10e;uncommon;Destroy target green or white creature.;;;0.1;0.03;0.74;2007
Halo Hunter;B;5;Creature;Demon;zen;rare;"Intimidate (This creature can't be blocked except by artifact creatures and/or creatures that share a color with it.)
When Halo Hunter enters the battlefield, destroy target Angel.";6;3;0.28;0.09;1.03;2009
Guiding Spirit;UW;3;Creature;Angel Spirit;vis;rare;"Flying
{T}: If the top card of target player's graveyard is a creature card, put that card on top of that player's library.";1;2;1.72;1.95;;1997
Luminescent Rain;G;3;Instant;;mor;common;Choose a creature type. You gain 2 life for each permanent you control of that type.;;;0.22;0.55;1.05;2008
Pestilent Spirit;B;3;Creature;Spirit;rna;rare;"Menace, deathtouch
Instant and sorcery spells you control have deathtouch. (Any amount of damage they deal to a creature is enough to destroy it.)";3;2;0.29;0.26;0.83;2019
Viashino Slasher;R;2;Creature;Viashino Warrior;rav;common;{R}: Viashino Slasher gets +1/-1 until end of turn.;1;2;0.02;0.01;0.09;2005
Infiltrator il-Kor;U;5;Creature;Kor Rogue;fut;common;"Shadow (This creature can block or be blocked by only creatures with shadow.)
Suspend 2—{1}{U} (Rather than cast this card from your hand, you may pay {1}{U} and exile it with two time counters on it. At the beginning of your upkeep, remove a time counter. When the last is removed, cast it without paying its mana cost. It has haste.)";3;1;0.11;0.05;0.30;2007
Roiling Regrowth;G;3;Instant;;znr;uncommon;Sacrifice a land. Search your library for up to two basic land cards, put them onto the battlefield tapped, then shuffle your library.;;;0.52;0.18;1.24;2020
Phyrexian Slayer;B;4;Creature;Minion;inv;common;"Flying
Whenever Phyrexian Slayer becomes blocked by a white creature, destroy that creature. It can't be regenerated.";2;2;0.1;0.02;0.26;2000
Fists of the Anvil;R;2;Instant;;10e;common;Target creature gets +4/+0 until end of turn.;;;0.21;0.17;0.26;2007
Blood Crypt;BR;0;Land;Swamp Mountain;rna;rare;"({T}: Add {B} or {R}.)
As Blood Crypt enters the battlefield, you may pay 2 life. If you don't, it enters the battlefield tapped.";;;14.63;11.36;20.20;2019
Twilight Panther;BW;1;Creature;Cat Spirit;rna;common;{B}: Twilight Panther gains deathtouch until end of turn.;1;2;0.08;0.02;0.16;2019
Frenzied Raptor;R;3;Creature;Dinosaur;iko;common;;4;2;0.02;0.02;0.08;2020
Complex Automaton;;4;Artifact Creature;Golem;nem;rare;At the beginning of your upkeep, if you control seven or more permanents, return Complex Automaton to its owner's hand.;4;4;0.24;0.17;0.77;2000
Orochi Sustainer;G;2;Creature;Snake Shaman;chk;common;{T}: Add {G}.;1;2;0.2;0.13;0.71;2004
Glimmerpoint Stag;W;4;Creature;Elk;som;uncommon;"Vigilance
When Glimmerpoint Stag enters the battlefield, exile another target permanent. Return that card to the battlefield under its owner's control at the beginning of the next end step.";3;3;0.11;0.03;0.25;2010
Spirit of Resistance;W;3;Enchantment;;inv;rare;As long as you control a permanent of each color, prevent all damage that would be dealt to you.;;;1.22;0.4;7.59;2000
Herdchaser Dragon;G;6;Creature;Dragon;dtk;uncommon;"Flying, trample
Megamorph {5}{G}{G} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its megamorph cost and put a +1/+1 counter on it.)
When Herdchaser Dragon is turned face up, put a +1/+1 counter on each other Dragon creature you control.";3;3;0.18;0.02;0.42;2015
Orb of Dreams;;3;Artifact;;bok;rare;Permanents enter the battlefield tapped.;;;2.94;0.58;12.74;2005
Whispering Shade;B;4;Creature;Shade;ody;common;"Swampwalk (This creature can't be blocked as long as defending player controls a Swamp.)
{B}: Whispering Shade gets +1/+1 until end of turn.";1;1;0.25;0.02;0.30;2001
Aradara Express;;5;Artifact;Vehicle;kld;common;"Menace
Crew 4 (Tap any number of creatures you control with total power 4 or more: This Vehicle becomes an artifact creature until end of turn.)";8;6;0.09;0.03;0.27;2016
Forbidden Lore;G;3;Enchantment;Aura;ice;rare;"Enchant land
Enchanted land has ""{T}: Target creature gets +2/+1 until end of turn.""";;;0.3;0.35;;1995
Sparring Collar;R;2;Artifact;Equipment;5dn;common;"Equipped creature has first strike.
{R}{R}: Attach Sparring Collar to target creature you control.
Equip {1} ({1}: Attach to target creature you control. Equip only as a sorcery.)";;;0.14;0.02;0.23;2004
Thunder Totem;W;3;Artifact;;tsp;uncommon;"{T}: Add {W}.
{1}{W}{W}: Thunder Totem becomes a 2/2 white Spirit artifact creature with flying and first strike until end of turn.";;;0.17;0.25;0.37;2006
Murmuring Mystic;U;4;Creature;Human Wizard;grn;uncommon;Whenever you cast an instant or sorcery spell, create a 1/1 blue Bird Illusion creature token with flying.;1;5;0.16;0.08;2.32;2018
Lord of Tresserhorn;BRU;4;Legendary Creature;Zombie;all;rare;"When Lord of Tresserhorn enters the battlefield, you lose 2 life, you sacrifice two creatures, and target opponent draws two cards.
{B}: Regenerate Lord of Tresserhorn.";10;4;4.78;0.99;;1996
False Prophet;W;4;Creature;Human Cleric;uds;rare;When False Prophet dies, exile all creatures.;2;2;1.02;0.32;16.80;1999
Reckless Brute;R;3;Creature;Ogre Warrior;m13;common;"Haste (This creature can attack and {T} as soon as it comes under your control.)
Reckless Brute attacks each combat if able.";3;1;0.02;0.01;0.11;2012
Memory Sluice;BU;1;Sorcery;;shm;common;"Target player mills four cards.
Conspire (As you cast this spell, you may tap two untapped creatures you control that share a color with it. When you do, copy it and you may choose a new target for the copy.)";;;0.71;0.5;11.71;2008
Torsten Von Ursus;GW;6;Legendary Creature;Human Soldier;leg;uncommon;;5;5;1.99;1.65;;1994
Fleetwheel Cruiser;;4;Artifact;Vehicle;kld;rare;"Trample, haste
When Fleetwheel Cruiser enters the battlefield, it becomes an artifact creature until end of turn.
Crew 2 (Tap any number of creatures you control with total power 2 or more: This Vehicle becomes an artifact creature until end of turn.)";5;3;0.25;0.18;0.57;2016
Kavu Howler;G;6;Creature;Kavu;apc;uncommon;When Kavu Howler enters the battlefield, reveal the top four cards of your library. Put all Kavu cards revealed this way into your hand and the rest on the bottom of your library in any order.;4;5;0.12;0.03;0.47;2001
Dragon Blood;;3;Artifact;;mrd;uncommon;{3}, {T}: Put a +1/+1 counter on target creature.;;;0.12;0.02;0.33;2003
Bloodline Shaman;G;2;Creature;Elf Wizard Shaman;ons;uncommon;{T}: Choose a creature type. Reveal the top card of your library. If that card is a creature card of the chosen type, put it into your hand. Otherwise, put it into your graveyard.;1;1;0.17;0.47;2.29;2002
Exiled Boggart;B;2;Creature;Goblin Rogue;lrw;common;When Exiled Boggart dies, discard a card.;2;2;0.06;0.02;;2007
Zombie Cannibal;B;1;Creature;Zombie;ody;common;Whenever Zombie Cannibal deals combat damage to a player, you may exile target card from that player's graveyard.;1;1;0.14;0.25;0.35;2001
Vitalizing Cascade;GW;2;Instant;;mir;uncommon;You gain X plus 3 life.;;;0.36;0.1;;1996
Steeple Roc;W;5;Creature;Bird;dgm;common;Flying, first strike;3;1;0.04;0.02;0.10;2013
Admonition Angel;W;6;Creature;Angel;wwk;mythic;"Flying
Landfall — Whenever a land enters the battlefield under your control, you may exile target nonland permanent other than Admonition Angel.
When Admonition Angel leaves the battlefield, return all cards exiled with it to the battlefield under their owners' control.";6;6;10.42;2.2;49.99;2010
Basalt Golem;;5;Artifact Creature;Golem;mir;uncommon;"Basalt Golem can't be blocked by artifact creatures.
Whenever Basalt Golem becomes blocked by a creature, that creature's controller sacrifices it at end of combat. If the player does, they create a 0/2 colorless Wall artifact creature token with defender.";2;4;0.13;0.1;;1996
Scald;R;2;Enchantment;;usg;uncommon;Whenever a player taps an Island for mana, Scald deals 1 damage to that player.;;;0.19;0.16;;1998
Saltfield Recluse;W;3;Creature;Human Rebel Cleric;plc;common;{T}: Target creature gets -2/-0 until end of turn.;1;2;0.09;0.01;0.25;2007
Stronghold Rats;B;3;Creature;Rat;fut;uncommon;"Shadow (This creature can block or be blocked by only creatures with shadow.)
Whenever Stronghold Rats deals combat damage to a player, each player discards a card.";2;1;2.28;0.45;5.50;2007
Earth Servant;R;6;Creature;Elemental;m11;uncommon;Earth Servant gets +0/+1 for each Mountain you control.;4;4;0.09;0.02;;2010
Goblin Cadets;R;1;Creature;Goblin;usg;uncommon;Whenever Goblin Cadets blocks or becomes blocked, target opponent gains control of it. (This removes Goblin Cadets from combat.);2;1;0.29;0.12;;1998
Sleeper Agent;B;1;Creature;Minion;10e;rare;"When Sleeper Agent enters the battlefield, target opponent gains control of it.
At the beginning of your upkeep, Sleeper Agent deals 2 damage to you.";3;3;0.66;1.07;2.27;2007
Martyr of Ashes;R;1;Creature;Human Shaman;csp;common;{2}, Reveal X red cards from your hand, Sacrifice Martyr of Ashes: Martyr of Ashes deals X damage to each creature without flying.;1;1;0.36;0.46;3.27;2006
Deicide;W;2;Instant;;jou;rare;Exile target enchantment. If the exiled card is a God card, search its controller's graveyard, hand, and library for any number of cards with the same name as that card and exile them, then that player shuffles their library.;;;0.28;0.15;0.70;2014
Femeref Scouts;W;3;Creature;Human Scout;mir;common;;1;4;0.1;0.04;;1996
Beacon of Immortality;W;6;Instant;;5dn;rare;Double target player's life total. Shuffle Beacon of Immortality into its owner's library.;;;1.95;0.3;10.18;2004
Razorfoot Griffin;W;4;Creature;Griffin;8ed;common;"Flying (This creature can't be blocked except by creatures with flying or reach.)
First strike (This creature deals combat damage before creatures without first strike.)";2;2;0.07;0.01;0.26;2003
Adun Oakenshield;BGR;3;Legendary Creature;Human Knight;leg;rare;{B}{R}{G}, {T}: Return target creature card from your graveyard to your hand.;1;2;76.15;43.51;;1994
Karplusan Wolverine;R;1;Snow Creature;Wolverine Beast;csp;common;Whenever Karplusan Wolverine becomes blocked, you may have it deal 1 damage to any target.;1;1;0.1;0.01;0.41;2006
Muscle Sliver;G;2;Creature;Sliver;tmp;common;All Sliver creatures get +1/+1.;1;1;1.09;1.01;;1997
Ashen Rider;BW;8;Creature;Archon;ths;mythic;"Flying
When Ashen Rider enters the battlefield or dies, exile target permanent.";5;5;1.48;2.23;6.91;2013
Aven Squire;W;2;Creature;Bird Soldier;con;common;"Flying
Exalted (Whenever a creature you control attacks alone, that creature gets +1/+1 until end of turn.)";1;1;0.11;0.05;0.36;2009
Nihil Spellbomb;B;1;Artifact;;som;common;"{T}, Sacrifice Nihil Spellbomb: Exile all cards from target player's graveyard.
When Nihil Spellbomb is put into a graveyard from the battlefield, you may pay {B}. If you do, draw a card.";;;0.33;0.31;6.23;2010
Elixir of Vitality;;4;Artifact;;mir;uncommon;"Elixir of Vitality enters the battlefield tapped.
{T}, Sacrifice Elixir of Vitality: You gain 4 life.
{8}, {T}, Sacrifice Elixir of Vitality: You gain 8 life.";;;0.14;0.1;;1996
Defeat;B;2;Sorcery;;dtk;common;Destroy target creature with power 2 or less.;;;0.3;0.01;0.05;2015
Lair Delve;G;3;Sorcery;;avr;common;Reveal the top two cards of your library. Put all creature and land cards revealed this way into your hand and the rest on the bottom of your library in any order.;;;0.07;0.03;0.25;2012
Umara Raptor;U;3;Creature;Bird Ally;zen;common;"Flying
Whenever Umara Raptor or another Ally enters the battlefield under your control, you may put a +1/+1 counter on Umara Raptor.";1;1;0.11;0.02;0.29;2009
Skymark Roc;UW;4;Creature;Bird;rtr;uncommon;"Flying
Whenever Skymark Roc attacks, you may return target creature defending player controls with toughness 2 or less to its owner's hand.";3;3;0.08;0.02;0.51;2012
Magus of the Scroll;R;1;Creature;Human Wizard;tsp;rare;{3}, {T}: Choose a card name, then reveal a card at random from your hand. If that card has the chosen name, Magus of the Scroll deals 2 damage to any target.;1;1;0.25;0.1;0.63;2006
Undying Flames;R;6;Sorcery;;sok;rare;"Exile cards from the top of your library until you exile a nonland card. Undying Flames deals damage to any target equal to that card's converted mana cost.
Epic (For the rest of the game, you can't cast spells. At the beginning of each of your upkeeps, copy this spell except for its epic ability. You may choose a new target for the copy.)";;;0.31;0.15;1.65;2005
Kor Cartographer;W;4;Creature;Kor Scout;zen;common;When Kor Cartographer enters the battlefield, you may search your library for a Plains card, put it onto the battlefield tapped, then shuffle your library.;2;2;0.32;0.55;6.60;2009
Myr Reservoir;;3;Artifact;;som;rare;"{T}: Add {C}{C}. Spend this mana only to cast Myr spells or activate abilities of Myr.
{3}, {T}: Return target Myr card from your graveyard to your hand.";;;0.63;0.12;1.67;2010
Wastes;;0;Basic Land;;ogw;common;{T}: Add {C}.;;;1.07;0.75;;2016
Treetop Sentinel;U;4;Creature;Bird Soldier;ody;uncommon;Flying, protection from green;2;3;0.14;0.25;0.41;2001
Scrivener;U;5;Creature;Human Wizard;ody;common;When Scrivener enters the battlefield, you may return target instant card from your graveyard to your hand.;2;2;0.13;0.2;0.67;2001
Deafening Silence;W;1;Enchantment;;eld;uncommon;Each player can't cast more than one noncreature spell each turn.;;;0.36;0.23;1.82;2019
Oketra's Attendant;W;5;Creature;Bird Soldier;akh;uncommon;"Flying
Cycling {2} ({2}, Discard this card: Draw a card.)
Embalm {3}{W}{W} ({3}{W}{W}, Exile this card from your graveyard: Create a token that's a copy of it, except it's a white Zombie Bird Soldier with no mana cost. Embalm only as a sorcery.)";3;3;0.08;0.02;0.37;2017
Bone Pit Brute;R;6;Creature;Cyclops;m21;common;"Menace (This creature can't be blocked except by two or more creatures.)
When Bone Pit Brute enters the battlefield, target creature gets +4/+0 until end of turn.";4;5;0.02;0.02;0.07;2020
Shefet Dunes;W;0;Land;Desert;hou;uncommon;"{T}: Add {C}.
{T}, Pay 1 life: Add {W}.
{2}{W}{W}, {T}, Sacrifice a Desert: Creatures you control get +1/+1 until end of turn. Activate this ability only any time you could cast a sorcery.";;;0.26;0.25;0.95;2017
Granitic Titan;R;6;Creature;Elemental;hou;common;"Menace
Cycling {2} ({2}, Discard this card: Draw a card.)";5;4;0.04;0.03;0.20;2017
Devouring Rage;R;5;Instant;Arcane;chk;common;"As an additional cost to cast this spell, you may sacrifice any number of Spirits.
Target creature gets +3/+0 until end of turn. For each Spirit sacrificed this way, that creature gets an additional +3/+0 until end of turn.";;;0.07;0.05;0.25;2004
Possessed Centaur;BG;4;Creature;Centaur Horror;tor;rare;"Trample
Threshold — As long as seven or more cards are in your graveyard, Possessed Centaur gets +1/+1, is black, and has ""{2}{B}, {T}: Destroy target green creature.""";3;3;0.25;0.15;0.99;2002
Explosive Apparatus;;1;Artifact;;m19;common;{3}, {T}, Sacrifice Explosive Apparatus: It deals 2 damage to any target.;;;0.01;0.1;0.29;2018
Truefire Captain;RW;4;Creature;Human Knight;grn;uncommon;"Mentor (Whenever this creature attacks, put a +1/+1 counter on target attacking creature with lesser power.)
Whenever Truefire Captain is dealt damage, it deals that much damage to target player.";4;3;0.2;0.02;0.62;2018
Arctic Flats;GW;0;Snow Land;;csp;uncommon;"Arctic Flats enters the battlefield tapped.
{T}: Add {G} or {W}.";;;1.41;0.32;9.48;2006
Relic Seeker;W;2;Creature;Human Soldier;ori;rare;"Renown 1 (When this creature deals combat damage to a player, if it isn't renowned, put a +1/+1 counter on it and it becomes renowned.)
When Relic Seeker becomes renowned, you may search your library for an Equipment card, reveal it, put it into your hand, then shuffle your library.";2;2;0.27;0.28;0.89;2015
Watercourser;U;3;Creature;Elemental;ori;common;{U}: Watercourser gets +1/-1 until end of turn.;2;3;0.05;0.02;;2015
Lava Spike;R;1;Sorcery;Arcane;chk;common;Lava Spike deals 3 damage to target player or planeswalker.;;;2.34;1.25;15.38;2004
Ogre Resister;R;4;Creature;Ogre;mbs;common;;4;3;0.03;0.01;0.08;2011
Vanquisher's Banner;;5;Artifact;;xln;rare;"As Vanquisher's Banner enters the battlefield, choose a creature type.
Creatures you control of the chosen type get +1/+1.
Whenever you cast a creature spell of the chosen type, draw a card.";;;8.71;5.94;13.07;2017
Azorius Knight-Arbiter;UW;5;Creature;Human Knight;rna;common;"Vigilance
Azorius Knight-Arbiter can't be blocked.";2;5;0.07;0.03;0.15;2019
Stand or Fall;R;4;Enchantment;;inv;rare;At the beginning of combat on your turn, for each defending player, separate all creatures that player controls into two piles and that player chooses one. Only creatures in the chosen piles can block this turn.;;;0.33;0.1;1.10;2000
Neheb, Dreadhorde Champion;R;4;Legendary Creature;Zombie Minotaur Warrior;war;rare;"Trample
Whenever Neheb, Dreadhorde Champion deals combat damage to a player or planeswalker, you may discard any number of cards. If you do, draw that many cards and add that much {R}. Until end of turn, you don't lose this mana as steps and phases end.";5;4;0.73;0.38;2.05;2019
Copper Carapace;;1;Artifact;Equipment;mbs;common;"Equipped creature gets +2/+2 and can't block.
Equip {3} ({3}: Attach to target creature you control. Equip only as a sorcery.)";;;0.06;0.01;0.24;2011
Brazen Scourge;R;3;Creature;Gremlin;kld;uncommon;Haste;3;3;0.08;;;2016
Elvish Mystic;G;1;Creature;Elf Druid;m14;common;{T}: Add {G}.;1;1;0.45;0.42;8.10;2013
